Portfile	Stratum	Before	After	Reason
R/R-pbdMPI/Portfile	other	unsupported	unsupported	version-input: portfile: unsupported source edit: no editable version input established (0 candidate evaluations were inconclusive)
ruby/rb-rubyinline/Portfile	other	unsupported	unsupported	version-input: portfile: unsupported source edit: no editable version input established (0 candidate evaluations were inconclusive)
python/py-sdnotify/Portfile	other	unsupported	input-found	
python/py-libnamebench/Portfile	other	unsupported	input-found	
R/R-sm/Portfile	other	unsupported	unsupported	version-input: portfile: unsupported source edit: no editable version input established (0 candidate evaluations were inconclusive)
python/py-fiona/Portfile	other	unsupported	input-found	
ruby/rb-gdk3/Portfile	other	unsupported	unsupported	version-input: portfile: unsupported source edit: no editable version input established (0 candidate evaluations were inconclusive)
perl/p5-file-sync/Portfile	other	unsupported	unsupported	version-input: portfile: unsupported source edit: no editable version input established (0 candidate evaluations were inconclusive)
perl/p5-plack-middleware-reverseproxy/Portfile	other	unsupported	unsupported	version-input: portfile: unsupported source edit: no editable version input established (0 candidate evaluations were inconclusive)
perl/p5-astro-coord-eci-vsop87d/Portfile	other	unsupported	unsupported	version-input: portfile: unsupported source edit: no editable version input established (0 candidate evaluations were inconclusive)
devel/elftoolchain/Portfile	other-direct-simple	input-found	input-found	
net/socket/Portfile	other-direct-simple	unsupported	input-found	
devel/judy/Portfile	other-direct-simple	input-found	input-found	
gnome/hicolor-icon-theme/Portfile	other-direct-simple	input-found	input-found	
devel/cvsgraph/Portfile	other-direct-simple	unsupported	input-found	
net/unbound/Portfile	other-direct-simple	input-found	input-found	
net/apan/Portfile	other-direct-simple	input-found	input-found	
gnome/goocanvasmm2/Portfile	other-direct-simple	input-found	input-found	
www/http-fetcher/Portfile	other-direct-simple	unsupported	input-found	
audio/sratom/Portfile	other-direct-simple	input-found	input-found	
emulators/vmips/Portfile	other-direct-simple	input-found	input-found	
textproc/stardict-xmlittre/Portfile	other-direct-simple	unsupported	input-found	
devel/log4c/Portfile	other-direct-simple	input-found	input-found	
lang/mozart/Portfile	other-direct-simple	unsupported	input-found	
science/fldigi/Portfile	other-direct-simple	input-found	input-found	
devel/fuzz/Portfile	other-direct-simple	input-found	input-found	
devel/activewire/Portfile	other-direct-simple	input-found	input-found	
devel/libconfig-hr/Portfile	other-direct-simple	input-found	input-found	
editors/bvi/Portfile	other-direct-simple	input-found	input-found	
emulators/lisaem/Portfile	other-direct-simple	unsupported	input-found	
x11/xfd/Portfile	other-direct-simple	input-found	input-found	
x11/rep-gtk/Portfile	other-direct-simple	unsupported	unknown	checksums: portedit: version probe is inconclusive: checksum declaration 11/10 is not covered by the observed contexts
lang/gwydion-dylan/Portfile	other-direct-simple	unsupported	unsupported	fetch: portfile: unsupported source edit: remote or ambiguous patchfile d2c/compiler/main/patch-main.dylan.diff
textproc/xmlpatch/Portfile	other-direct-simple	input-found	input-found	
science/qfsm/Portfile	other-direct-simple	unsupported	unknown	fetch: portedit: version probe is inconclusive: modeled context depends on host state: filesystem state outside the captured ports tree (Portfile:5)
gnome/gfbgraph/Portfile	other-direct-simple	input-found	input-found	
graphics/Renaissance-Framework/Portfile	other-direct-simple	unsupported	input-found	
net/gupnp/Portfile	other-direct-simple	input-found	input-found	
math/feast/Portfile	other-direct-simple	unsupported	unsupported	fetch: portfile: unsupported source edit: MacPorts Base 2.12.6: pre-fetch hook 1 has unrecognized behavior; prepare this port manually
textproc/less/Portfile	other-direct-simple	input-found	input-found	
net/traceroute/Portfile	other-direct-simple	unsupported	unsupported	checksums: portfile: unsupported source edit: no HTTP(S) fetch location for traceroute-1.4a12.tar.gz
devel/geany/Portfile	other-direct-simple	input-found	input-found	
gnome/gstreamer010-gst-plugins-ugly/Portfile	other-direct-simple	input-found	input-found	
aqua/AppHack/Portfile	other-direct-simple	unsupported	input-found	
devel/boost169/Portfile	other-direct-simple	unsupported	unsupported	fetch: portfile: unsupported source edit: MacPorts Base 2.12.6: pre-fetch hook 1 has unrecognized behavior; prepare this port manually
net/icpld/Portfile	other-direct-simple	unsupported	input-found	
net/fprobe/Portfile	other-direct-simple	unsupported	input-found	
textproc/mime/Portfile	other-direct-simple	unsupported	input-found	
audio/libdca/Portfile	other-direct-simple	input-found	input-found	
textproc/ekhtml/Portfile	other-direct-simple	input-found	input-found	
print/a2ps/Portfile	other-direct-simple	input-found	input-found	
gnome/gstreamer1-gst-libav/Portfile	other-direct-simple	input-found	input-found	
print/ttf2pt1/Portfile	other-direct-simple	unsupported	input-found	
games/gtypist/Portfile	other-direct-simple	input-found	input-found	
archivers/deb2targz/Portfile	other-direct-simple	unsupported	input-found	
devel/deno/Portfile	forge-complex	input-found	input-found	
devel/gh/Portfile	forge-complex	input-found	input-found	
devel/rust-analyzer/Portfile	forge-complex	input-found	input-found	
lang/rust/Portfile	other	unsupported	unsupported	dependency-source: portfile: unsupported source edit: only direct HTTP(S) master sites are supported
sysutils/helm/Portfile	forge-complex	unsupported	input-found	
sysutils/jq/Portfile	forge-simple	input-found	input-found	
sysutils/terraform/Portfile	other	unsupported	input-found	
