Portfile	Stratum	Before	After	Seconds
devel/judy/Portfile	other-direct-simple	unsupported	input-found	1.728
gnome/hicolor-icon-theme/Portfile	other-direct-simple	unsupported	input-found	0.731
devel/cvsgraph/Portfile	other-direct-simple	unsupported	unsupported	0.623
net/unbound/Portfile	other-direct-simple	unsupported	input-found	1.290
net/apan/Portfile	other-direct-simple	unsupported	input-found	0.554
gnome/goocanvasmm2/Portfile	other-direct-simple	unsupported	input-found	1.001
www/http-fetcher/Portfile	other-direct-simple	unsupported	unsupported	0.599
audio/sratom/Portfile	other-direct-simple	unsupported	input-found	0.655
emulators/vmips/Portfile	other-direct-simple	unsupported	input-found	0.597
textproc/stardict-xmlittre/Portfile	other-direct-simple	unsupported	unsupported	0.575
devel/log4c/Portfile	other-direct-simple	unsupported	input-found	0.629
lang/mozart/Portfile	other-direct-simple	unsupported	unsupported	1.517
science/fldigi/Portfile	other-direct-simple	unsupported	input-found	2.358
devel/fuzz/Portfile	other-direct-simple	unsupported	input-found	0.592
devel/activewire/Portfile	other-direct-simple	unsupported	input-found	0.589
devel/libconfig-hr/Portfile	other-direct-simple	unsupported	input-found	0.612
editors/bvi/Portfile	other-direct-simple	unsupported	input-found	0.596
emulators/lisaem/Portfile	other-direct-simple	unsupported	unsupported	0.562
x11/xfd/Portfile	other-direct-simple	unsupported	input-found	0.587
x11/rep-gtk/Portfile	other-direct-simple	unsupported	unsupported	0.589
lang/gwydion-dylan/Portfile	other-direct-simple	unsupported	unsupported	0.592
textproc/xmlpatch/Portfile	other-direct-simple	unsupported	input-found	0.643
science/qfsm/Portfile	other-direct-simple	unsupported	unsupported	0.979
gnome/gfbgraph/Portfile	other-direct-simple	unsupported	input-found	0.969
graphics/Renaissance-Framework/Portfile	other-direct-simple	unsupported	unsupported	0.590
net/gupnp/Portfile	other-direct-simple	unsupported	input-found	1.003
math/feast/Portfile	other-direct-simple	unsupported	unsupported	0.598
textproc/less/Portfile	other-direct-simple	unsupported	input-found	0.615
net/traceroute/Portfile	other-direct-simple	unsupported	unsupported	0.634
devel/geany/Portfile	other-direct-simple	unsupported	input-found	0.576
gnome/gstreamer010-gst-plugins-ugly/Portfile	other-direct-simple	unsupported	input-found	0.775
aqua/AppHack/Portfile	other-direct-simple	unsupported	unsupported	0.587
devel/boost169/Portfile	other-direct-simple	unsupported	unsupported	2.447
net/icpld/Portfile	other-direct-simple	unsupported	unsupported	0.562
net/fprobe/Portfile	other-direct-simple	unsupported	unsupported	0.564
textproc/mime/Portfile	other-direct-simple	unsupported	unsupported	0.559
audio/libdca/Portfile	other-direct-simple	unsupported	input-found	0.563
textproc/ekhtml/Portfile	other-direct-simple	unsupported	input-found	0.542
print/a2ps/Portfile	other-direct-simple	unsupported	input-found	0.561
gnome/gstreamer1-gst-libav/Portfile	other-direct-simple	unsupported	input-found	0.926
print/ttf2pt1/Portfile	other-direct-simple	unsupported	unsupported	0.577
games/gtypist/Portfile	other-direct-simple	unsupported	input-found	0.711
archivers/deb2targz/Portfile	other-direct-simple	unsupported	unsupported	0.617
devel/deno/Portfile	forge-complex	unsupported	input-found	1.220
devel/gh/Portfile	forge-complex	unsupported	input-found	1.423
devel/rust-analyzer/Portfile	forge-complex	input-found	input-found	0.926
lang/rust/Portfile	other	unsupported	unsupported	1.270
sysutils/helm/Portfile	forge-complex	unsupported	unsupported	3.939
sysutils/jq/Portfile	forge-simple	input-found	input-found	0.601
sysutils/terraform/Portfile	other	unsupported	unsupported	3.693
